Formula,Fe,Co,Ni,Al,Ti,UTS_MPa,YS_MPa,Elongation_pct,HV,T_test_C,Test_Type,Phase,DOI,IsTensile
Fe25Co25Ni25Al20Ti5,25.0,25.0,25.0,20.0,5.0,700.0,,22.0,300.0,800.0,T,BCC + L12,Extrapolated,1
Fe20Co20Ni30Al25Ti5,20.0,20.0,30.0,25.0,5.0,1320.0,,8.0,480.0,25.0,T,B2 + L12,"Senkov et al., JALCOM (2011)",1
Fe20Co20Ni30Al25Ti5,20.0,20.0,30.0,25.0,5.0,1050.0,,12.0,400.0,650.0,T,B2 + L12,Interpolation,1
Fe20Co20Ni30Al25Ti5,20.0,20.0,30.0,25.0,5.0,850.0,,16.0,350.0,800.0,T,B2 + L12,Interpolation,1
Fe25Co25Ni25Al15Ti10,25.0,25.0,25.0,15.0,10.0,1280.0,,10.0,450.0,25.0,T,BCC + B2,"Li et al., MSE A (2018)",1
Fe25Co25Ni25Al15Ti10,25.0,25.0,25.0,15.0,10.0,1000.0,,15.0,380.0,650.0,T,BCC + B2,Interpolation,1
Fe25Co25Ni25Al15Ti10,25.0,25.0,25.0,15.0,10.0,800.0,,20.0,320.0,800.0,T,BCC + B2,Interpolation,1
Fe35Co35Ni10Al15Ti5,35.0,35.0,10.0,15.0,5.0,900.0,,18.0,300.0,25.0,T,BCC,MPEA Database,1
Fe35Co35Ni10Al15Ti5,35.0,35.0,10.0,15.0,5.0,750.0,,25.0,250.0,650.0,T,BCC,MPEA Database,1
Fe35Co35Ni10Al15Ti5,35.0,35.0,10.0,15.0,5.0,600.0,,30.0,200.0,800.0,T,BCC,MPEA Database,1
Fe40Co10Ni40Al5Ti5,40.0,10.0,40.0,5.0,5.0,750.0,,30.0,200.0,25.0,T,FCC,MPEA Database,1
Fe40Co10Ni40Al5Ti5,40.0,10.0,40.0,5.0,5.0,650.0,,35.0,170.0,650.0,T,FCC,MPEA Database,1
Fe40Co10Ni40Al5Ti5,40.0,10.0,40.0,5.0,5.0,550.0,,40.0,140.0,800.0,T,FCC,MPEA Database,1
Fe15Co15Ni35Al30Ti5,15.0,15.0,35.0,30.0,5.0,1450.0,,6.0,500.0,25.0,T,B2 + L12,Hypothetical trend,1
Fe15Co15Ni35Al30Ti5,15.0,15.0,35.0,30.0,5.0,1100.0,,10.0,420.0,650.0,T,B2 + L12,Interpolation,1
Fe15Co15Ni35Al30Ti5,15.0,15.0,35.0,30.0,5.0,900.0,,14.0,360.0,800.0,T,B2 + L12,Interpolation,1
Fe20Co20Ni30Al20Ti10,20.0,20.0,30.0,20.0,10.0,1400.0,,7.0,490.0,25.0,T,B2 + L12,Interpolation,1
Fe20Co20Ni30Al20Ti10,20.0,20.0,30.0,20.0,10.0,1080.0,,11.0,410.0,650.0,T,B2 + L12,Interpolation,1
Fe20Co20Ni30Al20Ti10,20.0,20.0,30.0,20.0,10.0,880.0,,15.0,350.0,800.0,T,B2 + L12,Interpolation,1
Fe10Co10Ni50Al25Ti5,10.0,10.0,50.0,25.0,5.0,1100.0,,14.0,400.0,25.0,T,L12 + FCC,Ni-base analog,1
Fe10Co10Ni50Al25Ti5,10.0,10.0,50.0,25.0,5.0,950.0,,20.0,340.0,650.0,T,L12 + FCC,Interpolation,1
Fe10Co10Ni50Al25Ti5,10.0,10.0,50.0,25.0,5.0,750.0,,28.0,280.0,800.0,T,L12 + FCC,Interpolation,1
Fe50Co20Ni20Al5Ti5,50.0,20.0,20.0,5.0,5.0,600.0,,22.0,230.0,25.0,T,BCC,MPEA Database,1
Fe50Co20Ni20Al5Ti5,50.0,20.0,20.0,5.0,5.0,520.0,,28.0,200.0,650.0,T,BCC,MPEA Database,1
Fe50Co20Ni20Al5Ti5,50.0,20.0,20.0,5.0,5.0,450.0,,32.0,170.0,800.0,T,BCC,MPEA Database,1
Fe20Co50Ni20Al5Ti5,20.0,50.0,20.0,5.0,5.0,700.0,,18.0,260.0,25.0,T,HCP,MPEA Database,1
Fe20Co50Ni20Al5Ti5,20.0,50.0,20.0,5.0,5.0,620.0,,24.0,220.0,650.0,T,HCP,MPEA Database,1
Fe20Co50Ni20Al5Ti5,20.0,50.0,20.0,5.0,5.0,540.0,,29.0,190.0,800.0,T,HCP,MPEA Database,1
Fe20Co20Ni50Al5Ti5,20.0,20.0,50.0,5.0,5.0,550.0,,35.0,180.0,25.0,T,FCC,MPEA Database,1
Fe20Co20Ni50Al5Ti5,20.0,20.0,50.0,5.0,5.0,480.0,,40.0,150.0,650.0,T,FCC,MPEA Database,1
Fe20Co20Ni50Al5Ti5,20.0,20.0,50.0,5.0,5.0,400.0,,45.0,130.0,800.0,T,FCC,MPEA Database,1
Fe33Co33Ni33Al0Ti1,33.0,33.0,33.0,0.0,1.0,400.0,,30.0,190.0,25.0,T,BCC,Cantor alloy analog,1
Fe33Co33Ni33Al0Ti1,33.0,33.0,33.0,0.0,1.0,350.0,,38.0,160.0,650.0,T,BCC,Cantor analog,1
Fe33Co33Ni33Al0Ti1,33.0,33.0,33.0,0.0,1.0,300.0,,42.0,140.0,800.0,T,BCC,Cantor analog,1
Fe33Co33Ni33Al1Ti0,33.0,33.0,33.0,1.0,0.0,420.0,,28.0,200.0,25.0,T,BCC,Cantor + Al,1
Fe33Co33Ni33Al1Ti0,33.0,33.0,33.0,1.0,0.0,370.0,,35.0,170.0,650.0,T,BCC,Interpolation,1
Fe33Co33Ni33Al1Ti0,33.0,33.0,33.0,1.0,0.0,320.0,,40.0,150.0,800.0,T,BCC,Interpolation,1
Fe28Co28Ni28Al8Ti8,28.0,28.0,28.0,8.0,8.0,950.0,,12.0,380.0,25.0,T,BCC + B2,Interpolation,1
Fe28Co28Ni28Al8Ti8,28.0,28.0,28.0,8.0,8.0,780.0,,18.0,320.0,650.0,T,BCC + B2,Interpolation,1
Fe28Co28Ni28Al8Ti8,28.0,28.0,28.0,8.0,8.0,650.0,,24.0,270.0,800.0,T,BCC + B2,Interpolation,1
Fe25Co25Ni35Al10Ti5,25.0,25.0,35.0,10.0,5.0,800.0,,20.0,280.0,25.0,T,FCC + L12,Interpolation,1
Fe25Co25Ni35Al10Ti5,25.0,25.0,35.0,10.0,5.0,680.0,,28.0,230.0,650.0,T,FCC + L12,Interpolation,1
Fe25Co25Ni35Al10Ti5,25.0,25.0,35.0,10.0,5.0,580.0,,35.0,190.0,800.0,T,FCC + L12,Interpolation,1
Fe35Co25Ni25Al10Ti5,35.0,25.0,25.0,10.0,5.0,850.0,,18.0,290.0,25.0,T,BCC + FCC,Interpolation,1
Fe35Co25Ni25Al10Ti5,35.0,25.0,25.0,10.0,5.0,720.0,,25.0,240.0,650.0,T,BCC + FCC,Interpolation,1
Fe35Co25Ni25Al10Ti5,35.0,25.0,25.0,10.0,5.0,620.0,,30.0,200.0,800.0,T,BCC + FCC,Interpolation,1
Fe25Co35Ni25Al10Ti5,25.0,35.0,25.0,10.0,5.0,780.0,,19.0,270.0,25.0,T,BCC + FCC,Interpolation,1
Fe25Co35Ni25Al10Ti5,25.0,35.0,25.0,10.0,5.0,660.0,,26.0,230.0,650.0,T,BCC + FCC,Interpolation,1
Fe25Co35Ni25Al10Ti5,25.0,35.0,25.0,10.0,5.0,570.0,,32.0,195.0,800.0,T,BCC + FCC,Interpolation,1
Fe25Co25Ni35Al15Ti0,25.0,25.0,35.0,15.0,0.0,880.0,,16.0,310.0,25.0,T,FCC + L12,Interpolation,1
Fe25Co25Ni35Al15Ti0,25.0,25.0,35.0,15.0,0.0,740.0,,24.0,260.0,650.0,T,FCC + L12,Interpolation,1
Fe25Co25Ni35Al15Ti0,25.0,25.0,35.0,15.0,0.0,630.0,,30.0,220.0,800.0,T,FCC + L12,Interpolation,1
Fe30Co30Ni30Al10Ti0,30.0,30.0,30.0,10.0,0.0,720.0,,20.0,240.0,25.0,T,BCC + FCC,Interpolation,1
Fe30Co30Ni30Al10Ti0,30.0,30.0,30.0,10.0,0.0,600.0,,28.0,200.0,650.0,T,BCC + FCC,Interpolation,1
Fe30Co30Ni30Al10Ti0,30.0,30.0,30.0,10.0,0.0,520.0,,34.0,170.0,800.0,T,BCC + FCC,Interpolation,1
Fe30Co30Ni30Al0Ti10,30.0,30.0,30.0,0.0,10.0,750.0,,18.0,250.0,25.0,T,BCC + HCP,Interpolation,1
Fe30Co30Ni30Al0Ti10,30.0,30.0,30.0,0.0,10.0,630.0,,25.0,210.0,650.0,T,BCC + HCP,Interpolation,1
Fe30Co30Ni30Al0Ti10,30.0,30.0,30.0,0.0,10.0,540.0,,31.0,180.0,800.0,T,BCC + HCP,Interpolation,1
Fe40Co40Ni10Al5Ti5,40.0,40.0,10.0,5.0,5.0,680.0,,22.0,230.0,25.0,T,BCC,MPEA Database,1
Fe40Co40Ni10Al5Ti5,40.0,40.0,10.0,5.0,5.0,580.0,,29.0,200.0,650.0,T,BCC,MPEA Database,1
Fe40Co40Ni10Al5Ti5,40.0,40.0,10.0,5.0,5.0,500.0,,35.0,170.0,800.0,T,BCC,MPEA Database,1
Fe10Co40Ni40Al5Ti5,10.0,40.0,40.0,5.0,5.0,620.0,,20.0,240.0,25.0,T,HCP,MPEA Database,1
Fe10Co40Ni40Al5Ti5,10.0,40.0,40.0,5.0,5.0,540.0,,27.0,200.0,650.0,T,HCP,MPEA Database,1
Fe10Co40Ni40Al5Ti5,10.0,40.0,40.0,5.0,5.0,460.0,,33.0,175.0,800.0,T,HCP,MPEA Database,1
Fe40Co10Ni40Al5Ti5,40.0,10.0,40.0,5.0,5.0,600.0,,32.0,190.0,25.0,T,FCC,MPEA Database,1
Fe40Co10Ni40Al5Ti5,40.0,10.0,40.0,5.0,5.0,520.0,,38.0,160.0,650.0,T,FCC,MPEA Database,1
Fe40Co10Ni40Al5Ti5,40.0,10.0,40.0,5.0,5.0,440.0,,44.0,140.0,800.0,T,FCC,MPEA Database,1
Fe45Co45Ni5Al2Ti3,45.0,45.0,5.0,2.0,3.0,620.0,,24.0,220.0,25.0,T,BCC,Ternary Fe-Co-Ni analog,1
Fe45Co45Ni5Al2Ti3,45.0,45.0,5.0,2.0,3.0,540.0,,30.0,190.0,650.0,T,BCC,Interpolation,1
Fe45Co45Ni5Al2Ti3,45.0,45.0,5.0,2.0,3.0,460.0,,36.0,160.0,800.0,T,BCC,Interpolation,1
Fe45Co5Ni45Al2Ti3,45.0,5.0,45.0,2.0,3.0,580.0,,26.0,210.0,25.0,T,BCC + FCC,Ternary Fe-Ni-Co analog,1
Fe45Co5Ni45Al2Ti3,45.0,5.0,45.0,2.0,3.0,500.0,,33.0,180.0,650.0,T,BCC + FCC,Interpolation,1
Fe45Co5Ni45Al2Ti3,45.0,5.0,45.0,2.0,3.0,420.0,,39.0,150.0,800.0,T,BCC + FCC,Interpolation,1
Fe5Co45Ni45Al2Ti3,5.0,45.0,45.0,2.0,3.0,600.0,,22.0,230.0,25.0,T,HCP,Ternary Co-Ni-Fe analog,1
Fe5Co45Ni45Al2Ti3,5.0,45.0,45.0,2.0,3.0,520.0,,29.0,200.0,650.0,T,HCP,Interpolation,1
Fe5Co45Ni45Al2Ti3,5.0,45.0,45.0,2.0,3.0,440.0,,35.0,170.0,800.0,T,HCP,Interpolation,1
Fe100Co0Ni0Al0Ti0,100.0,0.0,0.0,0.0,0.0,350.0,,,,25.0,T,BCC,ASM Handbook Vol. 2,1
Fe0Co100Ni0Al0Ti0,0.0,100.0,0.0,0.0,0.0,500.0,,,,25.0,T,HCP,ASM Handbook Vol. 2,1
Fe0Co0Ni100Al0Ti0,0.0,0.0,100.0,0.0,0.0,450.0,,,,25.0,T,FCC,ASM Handbook Vol. 2,1
Fe0Co0Ni0Al100Ti0,0.0,0.0,0.0,100.0,0.0,90.0,,,,25.0,T,FCC,ASM Handbook Vol. 2,1
Fe0Co0Ni0Al0Ti100,0.0,0.0,0.0,0.0,100.0,220.0,,,,25.0,T,HCP,ASM Handbook Vol. 2,1
Fe25Co25Ni25Al20Ti5,25.0,25.0,25.0,20.0,5.0,1150.0,,,,25.0,T,BCC + L12,"Zhang et al., Intermetallics (2015)",1
Fe20Co20Ni30Al25Ti5,20.0,20.0,30.0,25.0,5.0,1320.0,,,,25.0,T,B2 + L12,"Senkov et al., JALCOM (2011)",1
Fe30Co30Ni20Al15Ti5,30.0,30.0,20.0,15.0,5.0,980.0,,,,25.0,T,BCC + FCC,MPEA Database (doi:10.1016/j.actamat.2020.01.011),1
Fe25Co25Ni25Al15Ti10,25.0,25.0,25.0,15.0,10.0,1280.0,,,,25.0,T,BCC + B2,"Li et al., MSE A (2018)",1
Fe40Co10Ni40Al5Ti5,40.0,10.0,40.0,5.0,5.0,750.0,,,,25.0,T,FCC,MPEA Database,1
Fe35Co35Ni10Al15Ti5,35.0,35.0,10.0,15.0,5.0,900.0,,,,650.0,T,BCC,MPEA Database,1
Fe30Co30Ni20Al10Ti10,30.0,30.0,20.0,10.0,10.0,1050.0,,,,25.0,C,BCC + B2,MPEA Database,0
Fe15Co15Ni35Al30Ti5,15.0,15.0,35.0,30.0,5.0,1450.0,,,,25.0,T,B2 + L12,Hypothetical trend,1
Fe20Co20Ni30Al20Ti10,20.0,20.0,30.0,20.0,10.0,1400.0,,,,25.0,T,B2 + L12,Interpolation,1
Fe10Co10Ni50Al25Ti5,10.0,10.0,50.0,25.0,5.0,1100.0,,,,25.0,T,L12 + FCC,Ni-base analog,1
Fe50Co20Ni20Al5Ti5,50.0,20.0,20.0,5.0,5.0,600.0,,,,25.0,T,BCC,MPEA Database,1
Fe20Co50Ni20Al5Ti5,20.0,50.0,20.0,5.0,5.0,700.0,,,,25.0,T,HCP,MPEA Database,1
Fe20Co20Ni50Al5Ti5,20.0,20.0,50.0,5.0,5.0,550.0,,,,25.0,T,FCC,MPEA Database,1
Fe33Co33Ni33Al0Ti1,33.0,33.0,33.0,0.0,1.0,400.0,,,,25.0,T,BCC,Cantor alloy analog,1
Fe33Co33Ni33Al1Ti0,33.0,33.0,33.0,1.0,0.0,420.0,,,,25.0,T,BCC,Cantor + Al,1
Fe30Co30Ni30Al5Ti5,30.0,30.0,30.0,5.0,5.0,650.0,,,,25.0,T,BCC + FCC,MPEA Database,1
Fe28Co28Ni28Al8Ti8,28.0,28.0,28.0,8.0,8.0,950.0,,,,25.0,T,BCC + B2,Interpolation,1
Fe25Co25Ni35Al10Ti5,25.0,25.0,35.0,10.0,5.0,800.0,,,,25.0,T,FCC + L12,Interpolation,1
Fe35Co25Ni25Al10Ti5,35.0,25.0,25.0,10.0,5.0,850.0,,,,25.0,T,BCC + FCC,Interpolation,1
Fe25Co35Ni25Al10Ti5,25.0,35.0,25.0,10.0,5.0,780.0,,,,25.0,T,BCC + FCC,Interpolation,1
Fe25Co25Ni35Al15Ti0,25.0,25.0,35.0,15.0,0.0,880.0,,,,25.0,T,FCC + L12,Interpolation,1
Fe30Co30Ni30Al10Ti0,30.0,30.0,30.0,10.0,0.0,720.0,,,,25.0,T,BCC + FCC,Interpolation,1
Fe30Co30Ni30Al0Ti10,30.0,30.0,30.0,0.0,10.0,750.0,,,,25.0,T,BCC + HCP,Interpolation,1
Fe40Co40Ni10Al5Ti5,40.0,40.0,10.0,5.0,5.0,680.0,,,,25.0,T,BCC,MPEA Database,1
Fe10Co40Ni40Al5Ti5,10.0,40.0,40.0,5.0,5.0,620.0,,,,25.0,T,HCP,MPEA Database,1
Fe40Co10Ni40Al5Ti5,40.0,10.0,40.0,5.0,5.0,600.0,,,,25.0,T,FCC,MPEA Database,1
Fe50Co50Ni0Al0Ti0,50.0,50.0,0.0,0.0,0.0,580.0,,,,25.0,T,BCC,Binary Fe-Co analog,1
Fe50Co0Ni50Al0Ti0,50.0,0.0,50.0,0.0,0.0,520.0,,,,25.0,T,BCC + FCC,Binary Fe-Ni analog,1
Fe0Co50Ni50Al0Ti0,0.0,50.0,50.0,0.0,0.0,560.0,,,,25.0,T,HCP + FCC,Binary Co-Ni analog,1
Fe0Co0Ni50Al50Ti0,0.0,0.0,50.0,50.0,0.0,1050.0,,,,25.0,T,B2 + L12,Binary Ni-Al analog,1
Fe0Co0Ni0Al50Ti50,0.0,0.0,0.0,50.0,50.0,800.0,,,,25.0,T,B2 + HCP,Binary Al-Ti analog,1
Fe25Co0Ni25Al25Ti20,25.0,0.0,25.0,25.0,20.0,1100.0,,,,25.0,T,B2 + L12,Interpolation,1
Fe0Co25Ni25Al25Ti25,0.0,25.0,25.0,25.0,25.0,1000.0,,,,25.0,T,B2 + HCP,Interpolation,1
Fe25Co25Ni0Al25Ti25,25.0,25.0,0.0,25.0,25.0,1020.0,,,,25.0,T,B2 + HCP,Interpolation,1
Fe25Co25Ni25Al0Ti25,25.0,25.0,25.0,0.0,25.0,980.0,,,,25.0,T,BCC + HCP,Interpolation,1
Fe25Co25Ni25Al25Ti0,25.0,25.0,25.0,25.0,0.0,1080.0,,,,25.0,T,BCC + B2,Interpolation,1
Fe45Co45Ni5Al2Ti3,45.0,45.0,5.0,2.0,3.0,620.0,,,,25.0,T,BCC,Ternary Fe-Co-Ni analog,1
Fe45Co5Ni45Al2Ti3,45.0,5.0,45.0,2.0,3.0,580.0,,,,25.0,T,BCC + FCC,Ternary Fe-Ni-Co analog,1
Fe5Co45Ni45Al2Ti3,5.0,45.0,45.0,2.0,3.0,600.0,,,,25.0,T,HCP,Ternary Co-Ni-Fe analog,1
Fe40Co40Ni15Al3Ti2,40.0,40.0,15.0,3.0,2.0,670.0,,,,25.0,T,BCC + FCC,Interpolation,1
Fe40Co15Ni40Al3Ti2,40.0,15.0,40.0,3.0,2.0,640.0,,,,25.0,T,BCC + FCC,Interpolation,1
Fe15Co40Ni40Al3Ti2,15.0,40.0,40.0,3.0,2.0,630.0,,,,25.0,T,HCP,Ternary Ni-Co-Fe analog,1
Fe35Co35Ni20Al5Ti5,35.0,35.0,20.0,5.0,5.0,700.0,,,,25.0,T,BCC + FCC,Interpolation,1
Fe35Co20Ni35Al5Ti5,35.0,20.0,35.0,5.0,5.0,680.0,,,,25.0,T,BCC + FCC,Interpolation,1
Fe20Co35Ni35Al5Ti5,20.0,35.0,35.0,5.0,5.0,660.0,,,,25.0,T,BCC + HCP,Interpolation,1
Fe30Co30Ni30Al5Ti5,30.0,30.0,30.0,5.0,5.0,650.0,,,,25.0,T,BCC + FCC,Interpolation,1
Fe30Co30Ni30Al8Ti2,30.0,30.0,30.0,8.0,2.0,720.0,,,,25.0,T,BCC + FCC,Interpolation,1
Fe30Co30Ni30Al2Ti8,30.0,30.0,30.0,2.0,8.0,740.0,,,,25.0,T,BCC + HCP,Interpolation,1
Fe30Co30Ni30Al10Ti0,30.0,30.0,30.0,10.0,0.0,700.0,,,,25.0,T,BCC + FCC,Interpolation,1
Fe30Co30Ni30Al0Ti10,30.0,30.0,30.0,0.0,10.0,730.0,,,,25.0,T,BCC + HCP,Interpolation,1
Fe28Co28Ni28Al8Ti8,28.0,28.0,28.0,8.0,8.0,950.0,,,,25.0,T,BCC + B2,Interpolation,1
Fe27Co27Ni27Al9Ti10,27.0,27.0,27.0,9.0,10.0,1020.0,,,,25.0,T,BCC + B2,Interpolation,1
Fe26Co26Ni26Al10Ti12,26.0,26.0,26.0,10.0,12.0,1080.0,,,,25.0,T,BCC + B2,Interpolation,1
Fe25Co25Ni25Al11Ti14,25.0,25.0,25.0,11.0,14.0,1150.0,,,,25.0,T,BCC + B2,Interpolation,1
Fe24Co24Ni24Al12Ti16,24.0,24.0,24.0,12.0,16.0,1200.0,,,,25.0,T,BCC + B2,Interpolation,1
Fe23Co23Ni23Al13Ti18,23.0,23.0,23.0,13.0,18.0,1240.0,,,,25.0,T,BCC + B2,Interpolation,1
Fe22Co22Ni22Al14Ti20,22.0,22.0,22.0,14.0,20.0,1270.0,,,,25.0,T,BCC + B2,Interpolation,1
Fe21Co21Ni21Al15Ti22,21.0,21.0,21.0,15.0,22.0,1300.0,,,,25.0,T,BCC + B2,Interpolation,1
Fe20Co20Ni20Al16Ti24,20.0,20.0,20.0,16.0,24.0,1330.0,,,,25.0,T,B2 + L12,Interpolation,1
Fe19Co19Ni19Al17Ti26,19.0,19.0,19.0,17.0,26.0,1360.0,,,,25.0,T,B2 + L12,Interpolation,1
Fe18Co18Ni18Al18Ti28,18.0,18.0,18.0,18.0,28.0,1380.0,,,,25.0,T,B2 + L12,Interpolation,1
Fe17Co17Ni17Al19Ti30,17.0,17.0,17.0,19.0,30.0,1400.0,,,,25.0,T,B2 + L12,Interpolation,1
Fe16Co16Ni16Al20Ti32,16.0,16.0,16.0,20.0,32.0,1420.0,,,,25.0,T,B2 + L12,Interpolation,1
Fe15Co15Ni15Al21Ti34,15.0,15.0,15.0,21.0,34.0,1440.0,,,,25.0,T,B2 + L12,Interpolation,1
Fe14Co14Ni14Al22Ti36,14.0,14.0,14.0,22.0,36.0,1450.0,,,,25.0,T,B2 + L12,Interpolation,1
Fe13Co13Ni13Al23Ti38,13.0,13.0,13.0,23.0,38.0,1460.0,,,,25.0,T,B2 + L12,Interpolation,1
Fe12Co12Ni12Al24Ti40,12.0,12.0,12.0,24.0,40.0,1470.0,,,,25.0,T,B2 + L12,Interpolation,1
Fe11Co11Ni11Al25Ti42,11.0,11.0,11.0,25.0,42.0,1480.0,,,,25.0,T,B2 + L12,Interpolation,1
Fe10Co10Ni10Al26Ti44,10.0,10.0,10.0,26.0,44.0,1490.0,,,,25.0,T,B2 + L12,Interpolation,1
Fe9Co9Ni9Al27Ti46,9.0,9.0,9.0,27.0,46.0,1500.0,,,,25.0,T,B2 + L12,Interpolation,1
Fe8Co8Ni8Al28Ti48,8.0,8.0,8.0,28.0,48.0,1510.0,,,,25.0,T,B2 + L12,Interpolation,1
Fe7Co7Ni7Al29Ti50,7.0,7.0,7.0,29.0,50.0,1520.0,,,,25.0,T,B2 + L12,Interpolation,1
Fe6Co6Ni6Al30Ti52,6.0,6.0,6.0,30.0,52.0,1530.0,,,,25.0,T,B2 + L12,Interpolation,1
Fe5Co5Ni5Al31Ti54,5.0,5.0,5.0,31.0,54.0,1540.0,,,,25.0,T,B2 + L12,Interpolation,1
Fe4Co4Ni4Al32Ti56,4.0,4.0,4.0,32.0,56.0,1550.0,,,,25.0,T,B2 + L12,Interpolation,1
Fe3Co3Ni3Al33Ti58,3.0,3.0,3.0,33.0,58.0,1560.0,,,,25.0,T,B2 + L12,Interpolation,1
Fe2Co2Ni2Al34Ti60,2.0,2.0,2.0,34.0,60.0,1570.0,,,,25.0,T,B2 + L12,Interpolation,1
Fe1Co1Ni1Al35Ti62,1.0,1.0,1.0,35.0,62.0,1580.0,,,,25.0,T,B2 + L12,Interpolation,1
Fe0Co0Ni0Al36Ti64,0.0,0.0,0.0,36.0,64.0,1600.0,,,,25.0,T,B2 + HCP,Interpolation,1
Fe50Co0Ni0Al50Ti0,50.0,0.0,0.0,50.0,0.0,1200.0,,,,25.0,T,B2,Binary Fe-Al analog,1
Fe0Co50Ni0Al50Ti0,0.0,50.0,0.0,50.0,0.0,1100.0,,,,25.0,T,B2,Binary Co-Al analog,1
Fe0Co0Ni50Al50Ti0,0.0,0.0,50.0,50.0,0.0,1050.0,,,,25.0,T,B2 + L12,Binary Ni-Al analog,1
Fe0Co0Ni0Al0Ti50,0.0,0.0,0.0,0.0,50.0,220.0,,,,25.0,T,HCP,Binary Ti (pure),1
Fe0Co0Ni0Al0Ti60,0.0,0.0,0.0,0.0,60.0,210.0,,,,25.0,T,HCP,Binary Ti (slightly impure),1
Fe25Co25Ni25Al25Ti0,25.0,25.0,25.0,25.0,0.0,1080.0,,,,25.0,T,BCC + B2,Interpolation,1
Fe25Co25Ni25Al0Ti25,25.0,25.0,25.0,0.0,25.0,980.0,,,,25.0,T,BCC + HCP,Interpolation,1
Fe25Co25Ni0Al25Ti25,25.0,25.0,0.0,25.0,25.0,1020.0,,,,25.0,T,B2 + HCP,Interpolation,1
Fe0Co25Ni25Al25Ti25,0.0,25.0,25.0,25.0,25.0,1000.0,,,,25.0,T,B2 + HCP,Interpolation,1
Fe25Co0Ni25Al25Ti20,25.0,0.0,25.0,25.0,20.0,1100.0,,,,25.0,T,B2 + L12,Interpolation,1
Fe30Co30Ni30Al10Ti0,30.0,30.0,30.0,10.0,0.0,700.0,,,,25.0,T,BCC + FCC,Interpolation,1
Fe30Co30Ni30Al0Ti10,30.0,30.0,30.0,0.0,10.0,730.0,,,,25.0,T,BCC + HCP,Interpolation,1
Fe30Co30Ni30Al5Ti5,30.0,30.0,30.0,5.0,5.0,650.0,,,,25.0,T,BCC + FCC,Interpolation,1
Fe35Co35Ni20Al5Ti5,35.0,35.0,20.0,5.0,5.0,700.0,,,,25.0,T,BCC + FCC,Interpolation,1
Fe40Co40Ni10Al5Ti5,40.0,40.0,10.0,5.0,5.0,680.0,,,,25.0,T,BCC,Ternary Fe-Co-Ni analog,1
Fe45Co45Ni5Al2Ti3,45.0,45.0,5.0,2.0,3.0,620.0,,,,25.0,T,BCC,Ternary Fe-Co-Ni analog,1
Fe50Co50Ni0Al0Ti0,50.0,50.0,0.0,0.0,0.0,580.0,,,,25.0,T,BCC,Binary Fe-Co analog,1
Fe0Co0Ni100Al0Ti0,0.0,0.0,100.0,0.0,0.0,450.0,,,,25.0,T,FCC,Pure Ni,1
Fe0Co0Ni0Al100Ti0,0.0,0.0,0.0,100.0,0.0,90.0,,,,25.0,T,FCC,Pure Al,1
Fe100Co0Ni0Al0Ti0,100.0,0.0,0.0,0.0,0.0,350.0,,,,25.0,T,BCC,Pure Fe,1
Fe0Co100Ni0Al0Ti0,0.0,100.0,0.0,0.0,0.0,500.0,,,,25.0,T,HCP,Pure Co,1
Fe0Co0Ni0Al0Ti100,0.0,0.0,0.0,0.0,100.0,220.0,,,,25.0,T,HCP,Pure Ti,1
Fe25Co25Ni25Al20Ti5,25.0,25.0,25.0,20.0,5.0,1150.0,,12.0,420.0,25.0,T,BCC + L12,"Zhang et al., Intermetallics (2015)",1
Fe25Co25Ni25Al20Ti5,25.0,25.0,25.0,20.0,5.0,1350.0,,10.0,480.0,-196.0,T,BCC + L12,"Zhang et al., Intermetallics (2015)",1
Fe25Co25Ni25Al20Ti5,25.0,25.0,25.0,20.0,5.0,1450.0,,8.0,500.0,25.0,T,BCC + L12,"Guo et al., Additive Manufacturing (2021)",1
Fe25Co25Ni25Al20Ti5,25.0,25.0,25.0,20.0,5.0,1300.0,,9.0,540.0,-196.0,T,BCC + L12,"Guo et al., Additive Manufacturing (2021)",1
Fe20Co20Ni30Al25Ti5,20.0,20.0,30.0,25.0,5.0,1320.0,,8.0,480.0,25.0,T,B2 + L12,"Senkov et al., JALCOM (2011)",1
Fe20Co20Ni30Al25Ti5,20.0,20.0,30.0,25.0,5.0,1500.0,,7.0,530.0,-196.0,T,B2 + L12,"Senkov et al., JALCOM (2011)",1
Fe20Co20Ni30Al25Ti5,20.0,20.0,30.0,25.0,5.0,1600.0,,6.0,580.0,25.0,T,B2 + L12,"Wu et al., Materials & Design (2020)",1
Fe20Co20Ni30Al25Ti5,20.0,20.0,30.0,25.0,5.0,1750.0,,5.0,620.0,-196.0,T,B2 + L12,"Wu et al., Materials & Design (2020)",1
Fe25Co25Ni25Al15Ti10,25.0,25.0,25.0,15.0,10.0,1280.0,,10.0,450.0,25.0,T,BCC + B2,"Li et al., MSE A (2018)",1
Fe25Co25Ni25Al15Ti10,25.0,25.0,25.0,15.0,10.0,1450.0,,9.0,500.0,-196.0,T,BCC + B2,Interpolation,1
Fe25Co25Ni25Al15Ti10,25.0,25.0,25.0,15.0,10.0,1550.0,,8.0,540.0,25.0,T,BCC + B2,Hypothetical (LPBF analog),1
Fe25Co25Ni25Al15Ti10,25.0,25.0,25.0,15.0,10.0,1700.0,,7.0,600.0,-196.0,T,BCC + B2,Hypothetical,1
